city,property_type,page_url,location,price,area,beds,baths
Islamabad,House,zameen.com/Property/islamabad_bani_gala_5_marla_brand_new_double_storey_house_for_sale_bedrooms_4_with_attached_6_washrooms_1_large_car_parking_solid_construction_a_great_material-42664498-340-1.html,"Bani Gala, Islamabad",1.85 Crore,5 Marla,4,5
Islamabad,House,zameen.com/Property/i_10_i_10_1_reserve_a_centrally_located_house_of_800_square_feet_in_i_10_1-42323466-3420-1.html,"I-10/1, I-10",2.1 Crore,3.6 Marla,5,5
Islamabad,House,zameen.com/Property/i_10_i_10_2_reserve_a_house_of_1500_square_feet_now_in_i_10_2-42649926-3421-1.html,"I-10/2, I-10",3.3 Crore,6.7 Marla,5,4
Islamabad,House,zameen.com/Property/islamabad_d_12_brand_new_4_marla_house_for_sale-42760029-160-1.html,"D-12, Islamabad",3.35 Crore,4 Marla,3,4
Islamabad,House,zameen.com/Property/islamabad_g_11_g_11_25x50_investor_price_house-20922941-168-1.html,"G-11, Islamabad",3.9 Crore,5.6 Marla,4,5
Islamabad,House,zameen.com/Property/islamabad_g_11_g_11_25x50_brand_new_house_first_entry-26188879-168-1.html,"G-11, Islamabad",3.9 Crore,5.6 Marla,4,6
Islamabad,House,zameen.com/Property/bahria_town_bahria_enclave_1_kanal_house_for_sale_in_bahria_enclave_islamabad-42956584-1705-1.html,"Bahria Enclave, Bahria Town",9 Crore,1 Kanal,6,4
Islamabad,House,zameen.com/Property/g_9_g_9_4_9_marla_top_location_corner_old_house_with_extra_land-43114283-3387-1.html,"G-9/4, G-9",6.4 Crore,9 Marla,4,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_location_1_kanal_house_for_sale_in_dha_defence-43147922-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_idyllic_good_location_house_available_in_dha_defence_phase_2_for_sale-43147924-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_buying_a_good_location_house_in_dha_defence_phase_2_islamabad_-43147932-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_affordable_good_location_house_available_for_sale_in_dha_defence_phase_2-43147937-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_your_ideal_good_location_1_kanal_house_has_just_become_available_in_dha_defence_phase_2-43147915-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_location_1_kanal_house_for_sale_in_beautiful_dha_defence_phase_2-43147917-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_location_property_for_sale_in_dha_defence_phase_2_islamabad_is_available_under_rs_95_000_000-43147920-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_c3_sector_c3_one_kanal_brand_new_house_for_sale-42650846-11989-1.html,"Bahria Enclave - Sector C3, Bahria Enclave",8 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_n_sector_n_8_marla_house_for_sale-40978535-11975-1.html,"Bahria Enclave - Sector N, Bahria Enclave",3.2 Crore,8 Marla,5,5
Islamabad,House,zameen.com/Property/kashmir_highway_eighteen_half_kanal_luxury_villa_available_for_sale_in_eighteen_islamabad-42535582-12602-1.html,"Eighteen, Kashmir Highway",4.95 Crore,10 Marla,4,5
Islamabad,House,zameen.com/Property/i_10_i_10_1_5_marla_corner_extra_land_house_available_for_sale_in_i_10_1-42186877-3420-1.html,"I-10/1, I-10",3.75 Crore,5 Marla,6,7
Islamabad,House,zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_b_furnished_house_available_for_sale-43039496-3197-1.html,"DHA Phase 2 - Sector B, DHA Defence Phase 2",9.75 Crore,1 Kanal,5,6
Islamabad,House,zameen.com/Property/islamabad_bani_gala_01_kanal_house_for_sale_in_bani_gala_on_prime_location_-41123012-340-1.html,"Bani Gala, Islamabad",5.49 Crore,1 Kanal,7,7
Islamabad,House,zameen.com/Property/bahria_town_bahria_enclave_5_marla_house_for_sale-43040465-1705-1.html,"Bahria Enclave, Bahria Town",1.9 Crore,5 Marla,3,5
Islamabad,House,zameen.com/Property/islamabad_f_10_cda_transfer_full_house_available_for_sale_in_f_10_by_asco_properties_-42884839-162-1.html,"F-10, Islamabad",2.65 Crore,3.6 Marla,5,2
Islamabad,House,zameen.com/Property/mpchs_multi_gardens_mpchs_block_c1_30x60_brand_new_double_storey_designer_house_for_sale_in_b_17_block_c1-37389382-12607-1.html,"MPCHS - Block C1, MPCHS - Multi Gardens",2.4 Crore,8 Marla,5,7
